City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,hotan,37.0997,79.9269,-3.17,41,8,1.48,CN,1702953969
299,sinop,41.7711,34.8709,4.17,72,96,2.58,TR,1702953969
300,protaras,35.0125,34.0583,8.95,54,0,5.9,CY,1702953969
301,pitimbu,-7.4706,-34.8086,27.33,81,99,3.46,BR,1702953969
302,guiberoua,6.2392,-6.1727,20.08,86,50,0.74,CI,1702953969
303,kapuskasing,49.4169,-82.4331,-12.95,85,100,9.26,CA,1702954021
304,mariental,-24.6333,17.9667,22.23,22,63,4.07,NA,1702953969
305,talcahuano,-36.7167,-73.1167,13.82,72,0,6.17,CL,1702953969
306,raja,8.4596,25.678,22.1,34,78,1.84,SS,1702953969
307,syktyvkar,61.6764,50.8099,-2.15,93,75,3.0,RU,1702953969
308,chingirlau,51.095,54.0814,-4.16,97,100,3.82,KZ,1702953684
309,dickinson,29.4608,-95.0513,17.05,69,0,2.57,US,1702953970
310,phak hai,14.4574,100.3699,28.34,54,40,4.73,TH,1702953970
311,gambiran satu,-8.3939,114.1464,30.39,46,26,3.22,ID,1702953970
312,vila franca do campo,37.7167,-25.4333,19.23,99,100,5.16,PT,1702953970
313,tres palos,18.1833,-101.6167,21.61,92,10,1.51,MX,1702953970
314,chulakkurgan,43.765,69.1814,-1.38,79,37,7.13,KZ,1702953970
315,lerwick,60.1545,-1.1494,7.0,67,54,10.89,GB,1702954070
316,promyshlennaya,54.9159,85.6385,-20.77,83,82,3.78,RU,1702953970
317,selfoss,63.9331,-20.9971,1.03,83,100,2.92,IS,1702953970
318,ribeira brava,32.65,-17.0667,18.35,76,2,3.09,PT,1702953970
319,luumaki,60.9262,27.5814,1.29,98,100,4.25,FI,1702953970
320,yorkton,51.2167,-102.4677,-5.09,86,100,4.63,CA,1702953970
321,mersing,2.4312,103.8405,25.95,94,20,3.09,MY,1702953970
322,dwarka,22.2394,68.9678,22.43,55,67,8.31,IN,1702953970
323,mosjoen,65.836,13.1908,2.29,87,40,3.6,NO,1702953548
324,hagere hiywet,8.9833,37.85,14.43,68,72,1.36,ET,1702953971
325,sao vicente,-23.9631,-46.3919,27.1,26,83,1.23,BR,1702953971
326,pala,9.3642,14.9046,21.88,26,100,2.68,TD,1702953971
327,greenville,35.6127,-77.3663,9.02,69,100,3.09,US,1702953944
328,denkanikota,12.5333,77.8,20.18,82,47,4.01,IN,1702953971
329,banjar,-8.19,114.9675,30.99,49,83,2.68,ID,1702953971
330,altai,46.3722,96.2583,-26.07,64,0,0.89,MN,1702953971
331,east ballina,-28.8667,153.5833,27.61,64,61,8.09,AU,1702954071
332,melekeok village,7.4957,134.6367,30.31,74,75,5.14,PW,1702953971
333,crane,31.3974,-102.3501,11.44,50,100,4.12,US,1702954071
334,boyalik,41.2634,28.6314,5.43,67,0,1.04,TR,1702953971
335,guiuan,11.0333,125.7247,27.23,84,97,7.72,PH,1702953971
336,sabha,27.0377,14.4283,10.39,61,0,5.18,LY,1702953971
337,laguna,38.421,-121.4238,15.52,87,100,4.12,US,1702954072
338,zhezqazghan,47.7833,67.7667,-7.68,86,100,9.0,KZ,1702953681
339,walvis bay,-22.9575,14.5053,16.72,88,97,5.66,NA,1702953971
340,newman,37.3138,-121.0208,16.13,91,100,1.34,US,1702953971
341,salekhard,66.53,66.6019,-13.62,95,100,5.24,RU,1702954072
342,moissala,8.3404,17.7663,22.99,28,100,2.07,TD,1702953972
343,iskateley,67.6803,53.1512,-11.66,93,98,6.71,RU,1702954072
344,swift current,50.2834,-107.8014,3.45,56,100,3.09,CA,1702953972
345,srandakan,-7.9386,110.2506,29.14,53,79,3.12,ID,1702953972
346,nova russas,-4.7067,-40.5631,24.94,84,100,1.35,BR,1702953972
347,tazovsky,67.4667,78.7,-14.52,89,100,8.9,RU,1702954073
348,wynyard,-41.0,145.7167,19.08,37,6,5.42,AU,1702954073
349,sangkhla buri,15.1555,98.4536,29.61,50,52,0.79,TH,1702953972
350,villa gesell,-37.2639,-56.973,13.92,65,52,9.05,AR,1702954019
351,elena,42.9333,25.8833,1.1,72,0,0.78,BG,1702953972
352,al ghayzah,16.2079,52.176,20.52,50,2,3.47,YE,1702953972
353,prairie du chien,43.0517,-91.1412,-6.99,63,0,0.0,US,1702953973
354,paulden,34.8856,-112.4682,15.1,24,100,2.24,US,1702953973
355,ak-suu,42.4995,78.527,-3.51,67,100,1.96,KG,1702953973
356,at taj,24.2049,23.2857,10.41,82,60,4.62,LY,1702954073
357,koubia,11.5833,-11.9,15.26,29,71,0.97,GN,1702953973
358,ketchikan,55.3422,-131.6461,5.99,75,100,4.12,US,1702954073
359,sarangani,5.4033,125.4636,28.22,77,74,4.03,PH,1702953973
